Date,Target
2016-01-01,2584.0
2016-01-02,3352.0
2016-01-03,2863.0
2016-01-04,6076.0
2016-01-05,4539.0
2016-01-06,4539.0
2016-01-07,5377.0
2016-01-08,5028.0
2016-01-09,3492.0
2016-01-10,2724.0
2016-01-11,5796.0
2016-01-12,5657.0
2016-01-13,5517.0
2016-01-14,6704.0
2016-01-15,6355.0
2016-01-16,3911.0
2016-01-17,2863.0
2016-01-18,5098.0
2016-01-19,5517.0
2016-01-20,4819.0
2016-01-21,6634.0
2016-01-22,5657.0
2016-01-23,3492.0
2016-01-24,2724.0
2016-01-25,6285.0
2016-01-26,6355.0
2016-01-27,5796.0
2016-01-28,6006.0
2016-01-29,6146.0
2016-01-30,4051.0
2016-01-31,3771.0
2016-02-01,6704.0
2016-02-02,5377.0
2016-02-03,5028.0
2016-02-04,6495.0
2016-02-05,5447.0
2016-02-06,3212.0
2016-02-07,3282.0
2016-02-08,5098.0
2016-02-09,4749.0
2016-02-10,5447.0
2016-02-11,5028.0
2016-02-12,5796.0
2016-02-13,4120.0
2016-02-14,3143.0
2016-02-15,6076.0
2016-02-16,6914.0
2016-02-17,6495.0
2016-02-18,6634.0
2016-02-19,5308.0
2016-02-20,3562.0
2016-02-21,2724.0
2016-02-22,5866.0
2016-02-23,5587.0
2016-02-24,5238.0
2016-02-25,6076.0
2016-02-26,5936.0
2016-02-27,3352.0
2016-02-28,2584.0
2016-02-29,6076.0
2016-03-01,6774.0
2016-03-02,5377.0
2016-03-03,6634.0
2016-03-04,5168.0
2016-03-05,4470.0
2016-03-06,3073.0
2016-03-07,5657.0
2016-03-08,5308.0
2016-03-09,4958.0
2016-03-10,6425.0
2016-03-11,5308.0
2016-03-12,3911.0
2016-03-13,3003.0
2016-03-14,5657.0
2016-03-15,5657.0
2016-03-16,6425.0
2016-03-17,6565.0
2016-03-18,5238.0
2016-03-19,3562.0
2016-03-20,3073.0
2016-03-21,6076.0
2016-03-22,6634.0
2016-03-23,5308.0
2016-03-24,6844.0
2016-03-25,4051.0
2016-03-26,3771.0
2016-03-27,2235.0
2016-03-28,6634.0
2016-03-29,5657.0
2016-03-30,4958.0
2016-03-31,6634.0
2016-04-01,5028.0
2016-04-02,3701.0
2016-04-03,2933.0
2016-04-04,5866.0
2016-04-05,5308.0
2016-04-06,4539.0
2016-04-07,5796.0
2016-04-08,5377.0
2016-04-09,3701.0
2016-04-10,3212.0
2016-04-11,5098.0
2016-04-12,5028.0
2016-04-13,4958.0
2016-04-14,5866.0
2016-04-15,5377.0
2016-04-16,4609.0
2016-04-17,8101.0
2016-04-18,5796.0
2016-04-19,5587.0
2016-04-20,5098.0
2016-04-21,5168.0
2016-04-22,5028.0
2016-04-23,2724.0
2016-04-24,2095.0
2016-04-25,5238.0
2016-04-26,4819.0
2016-04-27,5098.0
2016-04-28,5517.0
2016-04-29,4470.0
2016-04-30,3143.0
2016-05-01,2444.0
2016-05-02,5517.0
2016-05-03,4539.0
2016-05-04,4958.0
2016-05-05,5447.0
2016-05-06,4889.0
2016-05-07,2863.0
2016-05-08,2095.0
2016-05-09,4889.0
2016-05-10,4819.0
2016-05-11,4958.0
2016-05-12,5377.0
2016-05-13,4819.0
2016-05-14,2374.0
2016-05-15,2444.0
2016-05-16,4190.0
2016-05-17,3562.0
2016-05-18,3701.0
2016-05-19,3701.0
2016-05-20,3562.0
2016-05-21,3212.0
2016-05-22,2793.0
2016-05-23,5587.0
2016-05-24,4889.0
2016-05-25,3771.0
2016-05-26,4679.0
2016-05-27,4539.0
2016-05-28,3422.0
2016-05-29,1606.0
2016-05-30,2933.0
2016-05-31,4889.0
2016-06-01,5657.0
2016-06-02,6565.0
2016-06-03,5098.0
2016-06-04,3771.0
2016-06-05,2654.0
2016-06-06,5308.0
2016-06-07,5168.0
2016-06-08,4051.0
2016-06-09,4889.0
2016-06-10,5098.0
2016-06-11,2724.0
2016-06-12,2444.0
2016-06-13,5377.0
2016-06-14,5168.0
2016-06-15,5657.0
2016-06-16,5447.0
2016-06-17,4958.0
2016-06-18,2933.0
2016-06-19,2025.0
2016-06-20,6076.0
2016-06-21,5098.0
2016-06-22,6146.0
2016-06-23,5377.0
2016-06-24,3771.0
2016-06-25,3073.0
2016-06-26,1886.0
2016-06-27,5587.0
2016-06-28,5517.0
2016-06-29,6146.0
2016-06-30,6704.0
2016-07-01,6215.0
2016-07-02,3003.0
2016-07-03,2165.0
2016-07-04,2374.0
2016-07-05,5727.0
2016-07-06,4958.0
2016-07-07,6355.0
2016-07-08,4330.0
2016-07-09,3003.0
2016-07-10,2095.0
2016-07-11,4958.0
2016-07-12,4330.0
2016-07-13,4260.0
2016-07-14,5727.0
2016-07-15,5308.0
2016-07-16,3073.0
2016-07-17,3352.0
2016-07-18,6006.0
2016-07-19,5657.0
2016-07-20,5028.0
2016-07-21,5727.0
2016-07-22,4330.0
2016-07-23,2793.0
2016-07-24,2584.0
2016-07-25,6146.0
2016-07-26,5866.0
2016-07-27,5028.0
2016-07-28,5866.0
2016-07-29,5587.0
2016-07-30,3073.0
2016-07-31,2514.0
2016-08-01,6774.0
2016-08-02,5377.0
2016-08-03,5098.0
2016-08-04,5866.0
2016-08-05,5866.0
2016-08-06,2933.0
2016-08-07,3073.0
2016-08-08,6076.0
2016-08-09,5098.0
2016-08-10,5238.0
2016-08-11,5936.0
2016-08-12,5866.0
2016-08-13,3352.0
2016-08-14,4120.0
2016-08-15,6215.0
2016-08-16,5028.0
2016-08-17,4470.0
2016-08-18,5936.0
2016-08-19,5727.0
2016-08-20,3422.0
2016-08-21,2724.0
2016-08-22,5028.0
2016-08-23,4889.0
2016-08-24,4819.0
2016-08-25,5727.0
2016-08-26,5727.0
2016-08-27,3143.0
2016-08-28,1886.0
2016-08-29,4958.0
2016-08-30,5796.0
2016-08-31,6006.0
2016-09-01,6285.0
2016-09-02,4609.0
2016-09-03,3492.0
2016-09-04,2235.0
2016-09-05,3212.0
2016-09-06,5936.0
2016-09-07,5377.0
2016-09-08,5098.0
2016-09-09,5936.0
2016-09-10,3771.0
2016-09-11,2374.0
2016-09-12,5308.0
2016-09-13,3911.0
2016-09-14,4400.0
2016-09-15,7472.0
2016-09-16,5587.0
2016-09-17,2724.0
2016-09-18,3422.0
2016-09-19,5517.0
2016-09-20,4470.0
2016-09-21,4679.0
2016-09-22,6285.0
2016-09-23,5936.0
2016-09-24,2933.0
2016-09-25,2305.0
2016-09-26,6006.0
2016-09-27,5098.0
2016-09-28,5238.0
2016-09-29,6076.0
2016-09-30,5168.0
2016-10-01,3073.0
2016-10-02,2514.0
2016-10-03,6006.0
2016-10-04,3981.0
2016-10-05,4749.0
2016-10-06,5238.0
2016-10-07,4889.0
2016-10-08,2584.0
2016-10-09,2514.0
2016-10-10,4819.0
2016-10-11,5098.0
2016-10-12,4889.0
2016-10-13,6146.0
2016-10-14,4400.0
2016-10-15,3212.0
2016-10-16,2095.0
2016-10-17,4819.0
2016-10-18,3981.0
2016-10-19,5308.0
2016-10-20,5168.0
2016-10-21,4051.0
2016-10-22,3003.0
2016-10-23,2514.0
2016-10-24,5028.0
2016-10-25,4260.0
2016-10-26,4539.0
2016-10-27,5098.0
2016-10-28,4749.0
2016-10-29,3282.0
2016-10-30,3352.0
2016-10-31,5238.0
2016-11-01,4749.0
2016-11-02,4889.0
2016-11-03,5168.0
2016-11-04,5238.0
2016-11-05,3073.0
2016-11-06,2793.0
2016-11-07,4889.0
2016-11-08,4400.0
2016-11-09,4470.0
2016-11-10,5657.0
2016-11-11,4609.0
2016-11-12,3771.0
2016-11-13,2724.0
2016-11-14,5936.0
2016-11-15,5447.0
2016-11-16,5098.0
2016-11-17,5727.0
2016-11-18,5098.0
2016-11-19,2654.0
2016-11-20,2654.0
